"REFART","DESART","QTEART","SALART","CODCAT"
I100,Papier 1 ex continu,550,100,CON
I105,Papier 2 ex continu,5,75,CON
I108,Papier 3 ex continu,550,100,CON
I110,Papier 4 ex continu,12,10,CON
P220,Pré-imprimé commande,500,500,PRE
P230,Pré-imprimé facture,250,500,PRE
P240,Pré-imprimé bulletin paie,3000,500,PRE
P250,Pré-imprimé bon livraison,2500,500,PRE
P270,Pré-imprimé bon fabrication,2500,500,PRE
R080,Ruban Epson 850,2,10,RUB
R132,Ruban Epson 950,5,5,RUB
B002,Bande magnétique 6250,12,20,BMA
B001,Bande magnétique 1200,40,30,BMA
D035,CD R slim 80,40,25,CDR
D050,CD R-W 80,4,5,CDR
